cvastrophoto version 0.1.0 [linux2], Log version 2.5. Log enabled at 2021-07-03 01:40:40


Controller Begins at 2021-07-03 01:40:50
Equipment Profile = default
Mount = N/A, Pier side = N/A
RA Minimum pulse = 30 ms
DEC Minimum pulse = 80 ms
RA Backlash comp, RA pulse = 5 ms, DEC pulse 50 ms
Time,AbsTime,mount,RADuration,RADirection,DECDuration,DECDirection,RADuty,DECDuty,RADriftSpeed,DECDriftSpeed,RAGearstate,DECGearState
109.8180410861969,1625276560.085,Mount,1000,E,0,,-4000,0,0,0,0,0
110.81948113441467,1625276561.08644,Mount,1000,E,0,,-3000,0,0,0,0,0
111.82117414474487,1625276562.088133,Mount,1000,E,0,,-2000,0,0,0,0,0
112.82257604598999,1625276563.089535,Mount,1000,E,0,,-1000,0,0,0,0,0
113.82338404655457,1625276564.090343,Mount,1000,E,0,,0,0,0,0,0,0
115.1384961605072,1625276565.405455,Mount,1000,W,0,,4000,0,0,0,0,0
116.145672082901,1625276566.412631,Mount,1000,W,0,,3000,0,0,0,0,0
117.14673900604248,1625276567.413698,Mount,1000,W,0,,2000,0,0,0,0,0
118.14759111404419,1625276568.41455,Mount,1000,W,0,,1000,0,0,0,0,0
119.14822912216187,1625276569.415188,Mount,1000,W,0,,0,0,0,0,0,0
123.11589407920837,1625276573.382853,Mount,969,W,0,,0,0,0,0,0,0
129.2522189617157,1625276579.519178,Mount,969,W,0,,0,0,0,0,0,0
131.70476508140564,1625276581.971724,Mount,970,W,0,,0,0,0,0,0,0
135.59258604049683,1625276585.859545,Mount,969,W,0,,0,0,0,0,0,0
138.0645990371704,1625276588.331558,Mount,969,W,0,,0,0,0,0,0,0
141.85124802589417,1625276592.118207,Mount,970,W,0,,0,0,0,0,0,0
144.3303771018982,1625276594.597336,Mount,969,W,0,,0,0,0,0,0,0
148.22544503211975,1625276598.492404,Mount,969,W,0,,0,0,0,0,0,0
150.72198700904846,1625276600.988946,Mount,970,W,0,,0,0,0,0,0,0
155.30908012390137,1625276605.576039,Mount,1000,E,0,,-7724,0,0,0,0,0
156.31021404266357,1625276606.577173,Mount,1000,E,0,,-6724,0,0,0,0,0
157.3112289905548,1625276607.578188,Mount,1000,E,0,,-5724,0,0,0,0,0
158.31212615966797,1625276608.579085,Mount,1000,E,0,,-4724,0,0,0,0,0
159.31314992904663,1625276609.580109,Mount,1000,E,0,,-3724,0,0,0,0,0
160.31413102149963,1625276610.58109,Mount,1000,E,0,,-2724,0,0,0,0,0
161.31477904319763,1625276611.581738,Mount,1000,E,0,,-1724,0,0,0,0,0
162.3153591156006,1625276612.582318,Mount,1000,E,0,,-724,0,0,0,0,0
163.3161940574646,1625276613.583153,Mount,724,E,0,,0,0,0,0,0,0
169.4105999469757,1625276619.677559,Mount,0,,1000,S,0,-29000,0,0,0,0
170.41293096542358,1625276620.67989,Mount,0,,1000,S,0,-28000,0,0,0,0
171.41717195510864,1625276621.684131,Mount,0,,1000,S,0,-27000,0,0,0,0
172.42165803909302,1625276622.688617,Mount,0,,1000,S,0,-26000,0,0,0,0
173.42347693443298,1625276623.690436,Mount,0,,1000,S,0,-25000,0,0,0,0
174.4253649711609,1625276624.692324,Mount,0,,1000,S,0,-24000,0,0,0,0
175.42699909210205,1625276625.693958,Mount,0,,1000,S,0,-23000,0,0,0,0
176.42793798446655,1625276626.694897,Mount,0,,1000,S,0,-22000,0,0,0,0
177.42891097068787,1625276627.69587,Mount,0,,1000,S,0,-21000,0,0,0,0
178.4299020767212,1625276628.696861,Mount,0,,1000,S,0,-20000,0,0,0,0
179.43063402175903,1625276629.697593,Mount,0,,1000,S,0,-19000,0,0,0,0
180.43168997764587,1625276630.698649,Mount,0,,1000,S,0,-18000,0,0,0,0
181.43301010131836,1625276631.699969,Mount,0,,1000,S,0,-17000,0,0,0,0
182.4338641166687,1625276632.700823,Mount,0,,1000,S,0,-16000,0,0,0,0
183.43448400497437,1625276633.701443,Mount,0,,1000,S,0,-15000,0,0,0,0
184.43538093566895,1625276634.70234,Mount,0,,1000,S,0,-14000,0,0,0,0
185.4365429878235,1625276635.703502,Mount,0,,1000,S,0,-13000,0,0,0,0
186.43754696846008,1625276636.704506,Mount,0,,1000,S,0,-12000,0,0,0,0
187.43854808807373,1625276637.705507,Mount,0,,1000,S,0,-11000,0,0,0,0
188.43953704833984,1625276638.706496,Mount,0,,1000,S,0,-10000,0,0,0,0
189.44052410125732,1625276639.707483,Mount,0,,1000,S,0,-9000,0,0,0,0
190.44126105308533,1625276640.70822,Mount,0,,1000,S,0,-8000,0,0,0,0
191.4418351650238,1625276641.708794,Mount,0,,1000,S,0,-7000,0,0,0,0
192.44285798072815,1625276642.709817,Mount,0,,1000,S,0,-6000,0,0,0,0
193.4437770843506,1625276643.710736,Mount,0,,1000,S,0,-5000,0,0,0,0
194.44444298744202,1625276644.711402,Mount,0,,1000,S,0,-4000,0,0,0,0
195.44531297683716,1625276645.712272,Mount,0,,1000,S,0,-3000,0,0,0,0
196.44636011123657,1625276646.713319,Mount,0,,1000,S,0,-2000,0,0,0,0
197.44736313819885,1625276647.714322,Mount,0,,1000,S,0,-1000,0,0,0,0
198.44833993911743,1625276648.715299,Mount,0,,1000,S,0,0,0,0,0,0
199.76376605033875,1625276650.030725,Mount,0,,1000,N,0,29000,0,0,0,0
200.76531410217285,1625276651.032273,Mount,0,,1000,N,0,28000,0,0,0,0
201.76696610450745,1625276652.033925,Mount,0,,1000,N,0,27000,0,0,0,0
202.7678689956665,1625276653.034828,Mount,0,,1000,N,0,26000,0,0,0,0
203.7685101032257,1625276654.035469,Mount,0,,1000,N,0,25000,0,0,0,0
204.76930809020996,1625276655.036267,Mount,0,,1000,N,0,24000,0,0,0,0
205.7699420452118,1625276656.036901,Mount,0,,1000,N,0,23000,0,0,0,0
206.77069807052612,1625276657.037657,Mount,0,,1000,N,0,22000,0,0,0,0
207.77164316177368,1625276658.038602,Mount,0,,1000,N,0,21000,0,0,0,0
208.77271103858948,1625276659.03967,Mount,0,,1000,N,0,20000,0,0,0,0
209.77372097969055,1625276660.04068,Mount,0,,1000,N,0,19000,0,0,0,0
210.77457094192505,1625276661.04153,Mount,0,,1000,N,0,18000,0,0,0,0
211.77900409698486,1625276662.045963,Mount,0,,1000,N,0,17000,0,0,0,0
212.77996397018433,1625276663.046923,Mount,0,,1000,N,0,16000,0,0,0,0
213.78092312812805,1625276664.047882,Mount,0,,1000,N,0,15000,0,0,0,0
214.78190302848816,1625276665.048862,Mount,0,,1000,N,0,14000,0,0,0,0
215.78262209892273,1625276666.049581,Mount,0,,1000,N,0,13000,0,0,0,0
216.7855110168457,1625276667.05247,Mount,0,,1000,N,0,12000,0,0,0,0
217.78622198104858,1625276668.053181,Mount,0,,1000,N,0,11000,0,0,0,0
218.78706908226013,1625276669.054028,Mount,0,,1000,N,0,10000,0,0,0,0
219.78789114952087,1625276670.05485,Mount,0,,1000,N,0,9000,0,0,0,0
220.7886929512024,1625276671.055652,Mount,0,,1000,N,0,8000,0,0,0,0
221.7918770313263,1625276672.058836,Mount,0,,1000,N,0,7000,0,0,0,0
222.79270315170288,1625276673.059662,Mount,0,,1000,N,0,6000,0,0,0,0
223.79349994659424,1625276674.060459,Mount,0,,1000,N,0,5000,0,0,0,0
224.79431796073914,1625276675.061277,Mount,0,,1000,N,0,4000,0,0,0,0
225.7952139377594,1625276676.062173,Mount,0,,1000,N,0,3000,0,0,0,0
226.79603600502014,1625276677.062995,Mount,0,,1000,N,0,2000,0,0,0,0
227.7966730594635,1625276678.063632,Mount,0,,1000,N,0,1000,0,0,0,0
228.7972230911255,1625276679.064182,Mount,0,,1000,N,0,0,0,0,0,0
232.68020105361938,1625276682.94716,Mount,0,,599,N,0,0,0,0,0,0
238.64905714988708,1625276688.916016,Mount,0,,599,N,0,0,0,0,0,0
240.797287940979,1625276691.064247,Mount,0,,599,N,0,0,0,0,0,0
244.3995201587677,1625276694.666479,Mount,0,,599,N,0,0,0,0,0,0
246.56530809402466,1625276696.832267,Mount,0,,600,N,0,0,0,0,0,0
250.40418696403503,1625276700.671146,Mount,0,,599,N,0,0,0,0,0,0
252.62204813957214,1625276702.889007,Mount,0,,599,N,0,0,0,0,0,0
256.0929470062256,1625276706.359906,Mount,0,,599,N,0,0,0,0,0,0
258.2366499900818,1625276708.503609,Mount,0,,600,N,0,0,0,0,0,0
262.5565230846405,1625276712.823482,Mount,0,,1000,S,0,-4393,0,0,0,0
263.5584261417389,1625276713.825385,Mount,0,,1000,S,0,-3393,0,0,0,0
264.5600440502167,1625276714.827003,Mount,0,,1000,S,0,-2393,0,0,0,0
265.5610899925232,1625276715.828049,Mount,0,,1000,S,0,-1392,0,0,0,0
266.56203603744507,1625276716.828995,Mount,0,,1000,S,0,-392,0,0,0,0
267.5630180835724,1625276717.829977,Mount,0,,392,S,0,0,0,0,0,0
337.3098289966583,1625276787.576788,Mount,1000,E,0,,-3991,-1,0.017428358071668145,-0.0008765935470294366,0,0
338.31060814857483,1625276788.577567,Mount,1000,E,0,,-2973,-2,0.017428358071668145,-0.0008765935470294366,0,0
339.3112449645996,1625276789.578204,Mount,1000,E,0,,-1956,-3,0.017428358071668145,-0.0008765935470294366,0,0
340.3129379749298,1625276790.579897,Mount,1000,E,0,,-938,-4,0.017428358071668145,-0.0008765935470294366,0,0
341.3155469894409,1625276791.582506,Mount,921,E,0,,0,-4,0.017428358071668145,-0.0008765935470294366,0,0
342.55293107032776,1625276792.81989,Mount,1000,W,0,,4021,-6,0.017428358071668145,-0.0008765935470294366,0,0
343.5549261569977,1625276793.821885,Mount,1000,W,0,,3038,-6,0.017428358071668145,-0.0008765935470294366,0,0
344.5564069747925,1625276794.823366,Mount,1000,W,0,,2056,-7,0.017428358071668145,-0.0008765935470294366,0,0
345.5574791431427,1625276795.824438,Mount,1000,W,0,,1073,-8,0.017428358071668145,-0.0008765935470294366,0,0
346.558473110199,1625276796.825432,Mount,1000,W,0,,90,-9,0.017428358071668145,-0.0008765935470294366,0,0
347.55995893478394,1625276797.826918,Mount,108,W,0,,0,-10,0.017428358071668145,-0.0008765935470294366,0,0
349.67096495628357,1625276799.937924,Mount,37,W,0,,0,-12,0.017428358071668145,-0.0008765935470294366,0,0
350.58749413490295,1625276800.854453,Mount,985,W,0,,0,-13,0.017428358071668145,-0.0008765935470294366,0,0
352.5743441581726,1625276802.841303,Mount,35,W,0,,0,-14,0.017428358071668145,-0.0008765935470294366,0,0
354.57714200019836,1625276804.844101,Mount,34,W,0,,0,-16,0.017428358071668145,-0.0008765935470294366,0,0
356.5791759490967,1625276806.846135,Mount,35,W,0,,0,-18,0.017428358071668145,-0.0008765935470294366,0,0
356.6936810016632,1625276806.96064,Mount,972,W,0,,0,-18,0.017428358071668145,-0.0008765935470294366,0,0
358.6682801246643,1625276808.935239,Mount,34,W,0,,0,-20,0.017428358071668145,-0.0008765935470294366,0,0
359.1772210597992,1625276809.44418,Mount,978,W,0,,0,-20,0.017428358071668145,-0.0008765935470294366,0,0
361.15839195251465,1625276811.425351,Mount,35,W,0,,0,-22,0.017428358071668145,-0.0008765935470294366,0,0
362.97544598579407,1625276813.242405,Mount,1000,W,0,,0,-23,0.017428358071668145,-0.0008765935470294366,0,0
364.9786629676819,1625276815.245622,Mount,35,W,0,,0,-25,0.017428358071668145,-0.0008765935470294366,0,0
365.4800810813904,1625276815.74704,Mount,978,W,0,,0,-26,0.017428358071668145,-0.0008765935470294366,0,0
367.46117997169495,1625276817.728139,Mount,34,W,0,,0,-27,0.017428358071668145,-0.0008765935470294366,0,0
369.2808749675751,1625276819.547834,Mount,1000,W,0,,0,-29,0.017428358071668145,-0.0008765935470294366,0,0
371.28568601608276,1625276821.552645,Mount,35,W,0,,0,-31,0.017428358071668145,-0.0008765935470294366,0,0
371.7521870136261,1625276822.019146,Mount,978,W,0,,0,-31,0.017428358071668145,-0.0008765935470294366,0,0
373.7334041595459,1625276824.000363,Mount,34,W,0,,0,-33,0.017428358071668145,-0.0008765935470294366,0,0
375.64947414398193,1625276825.916433,Mount,1002,W,0,,0,-35,0.017428358071668145,-0.0008765935470294366,0,0
377.6556611061096,1625276827.92262,Mount,35,W,0,,0,-36,0.017428358071668145,-0.0008765935470294366,0,0
378.15716195106506,1625276828.424121,Mount,978,W,0,,0,-37,0.017428358071668145,-0.0008765935470294366,0,0
380.14125514030457,1625276830.408214,Mount,35,W,0,,0,-38,0.017428358071668145,-0.0008765935470294366,0,0
382.1438801288605,1625276832.410839,Mount,35,W,0,,0,-40,0.017428358071668145,-0.0008765935470294366,0,0
